Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
NEW SAN SALVADOR,CARTAGENA,53,10000,PUBLIC SERVER,ATLIXCO,74,THE TRANCAS,POCKET,13500,PREPARATORY,OTHER,OTHER
NAUCALPAN,XALAPA - ENRIQUEZ,61,4200,SALES REPRESENTATIVE,NICOLAS WHITE,28,BOCHIL,PSYCHOLOGY,5800,OTHER,OTHER,OTHER
SAN JUAN,WHITE LAND,30,1400,BUSINESSMAN,OVENS,32,THE TOWN,FEDERAL EMPLOYEE,30000,PREPARATORY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,5000,TEACHER,PARANGARICUTIRO,30,MORELIA,HOME DUTIES,1070,PROFESSIONAL,PROFESSIONAL,MOTHER
VILLAFLORES,COATEPEC,61,1900,PEDAGOGUE,THE BEAMS,26,THE ESTANZUELA,CONSULTANT,6638,HIGH SCHOOL,OTHER,DAD
THE BOY,JALTIPAN,33,13600,OPTOMETRIST,THE EBANAL,68,CARMEN CITY,CONSULTANT,8000,OTHER,HIGH SCHOOL,MOTHER
CUAUTITLAN,XALAPA - ENRIQUEZ,56,6700,BUSINESSMAN,XOCHIOTEPEC,66,THE BOY,ING. CIVIL,640,PRIMARY,PRIMARY,DAD
THE BRIDGES,TEAPA,70,45000,BALCONERO,INDUSTRIAL,24,COATZINTLA,RADIOLOGIST,6200,PRIMARY,OTHER,DAD
NAUCALPAN,ZACATECAS,54,120000,ARCHITECT,BUT,37,XALAPA-ENRIQUEZ,HOUSEWIFE,1700,PROFESSIONAL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,OTILPAN,38,1500,MECHANICAL,TEPIOLULCO,38,XALAPA-ENRIQUEZ,BUSINESSMAN,1200,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,61,10000,DOCTOR,XALAPA-ENRIQUEZ,56,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,700,EMPLOYEE,EJIDO MAHOGANY,22,XALAPA-ENRIQUEZ,RESEARCHER,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
ALLENDE,BALTIMORE,73,4850,FAMILY DOCTOR,MARANGE,53,COATZACOALCOS,JOURNALIST,7600,PROFESSIONAL,PREPARATORY,OTHER
GUTIERREZ ZAMORA,MATIAS ROMERO,37,708652,CARPENTER,SAN FELIPE DE JESUS,50,WATER SAW,PROMOTION GIRL,45000,HIGH SCHOOL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,NAOLINCO,33,1200,EMPLOYEE,VERACRUZ,26,XALAPA-ENRIQUEZ,HOME DUTIES,3200,PROFESSIONAL,PREPARATORY,MOTHER
PUEBLA,SANTIAGO DE CHILE,28,2300,STUDENT,VERACRUZ,26,XALAPA-ENRIQUEZ,TEACHER,9600,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,FRANCISCO SARABIA,43,4330,INVESTIGATOR,THE ESTANZUELA,39,XALAPA-ENRIQUEZ,PROFESSOR,5000,PROFESSIONAL,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,TEMAPACHE,32,4000,GRADUATE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
COATEPEC,THE BULL,23,32000,CHEF,SAINT ANA,18,CARDEL,CATHEDRATIC,750,OTHER,PRIMARY,DAD
LONG BEACH,VEGA DE ALATORRE,46,80000,TECHNICAL RADIO,TUXTEPEC,28,NAOLINCO,MASTER'S DEGREE,1530,OTHER,HIGH SCHOOL,MOTHER
BEAUTIFUL VILLA,OMEALCA,32,2200,PUBLIC EMPLOYEE,HAVANA CUBA,30,MOZOMBOA,CHEF,43000,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,4000,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EMPLOYEE,7500,PREPARATORY,PROFESSIONAL,MOTHER
TLALNELHUAYOCAN,TATATILA,57,3132,FARMER,TEOCELUS,52,OTILPAN,CABBIE,41000,PREPARATORY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,37,900,DRIVER,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,HOUSEWIFE,7500,HIGH SCHOOL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,20000,BUSINESSMAN,VEGA DE ALATORRE,35,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,INDEPENDENCE,28,2600,EMPLOYEE,ROOF LERDO,28,XALAPA-ENRIQUEZ,EMPLOYEE,13706,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,YECUATLA,29,4000,CHEF,YECUATLA,25,THE CASTLE,EMPLOYEE,8000,HIGH SCHOOL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,MAZATEPEC,44,35000,ALBAÑIL,ALTOTONGA,45,XALAPA-ENRIQUEZ,EMPLOYEE,3600,PRIMARY,PRIMARY,MOTHER
CARDENAS,POLOLCINGO,53,4700,ADMINISTRATIVE,THE JEWEL,47,CHOLULA,PIANO PROFESSOR,7900,PROFESSIONAL,HIGH SCHOOL,DAD
COATZACOALCOS,SOMPAZOL,77,1350,SIGHTSEEING,CHACHALACAS,67,MORELIA,SURGEON,90000,HIGH SCHOOL,OTHER,MOTHER
XALAPA-ENRIQUEZ,COATZACOALCOS,45,10000,CHEF,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EDUCATOR,11000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,3200,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,ALVARADO,43,10000,EMPLOYEE,FEDERAL DISTRICT,38,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,CELAYA,39,3000,EMPLOYEE,AHUEYAHUALCO,39,XALAPA-ENRIQUEZ,STYLIST,2000,HIGH SCHOOL,PREPARATORY,MOTHER
COMALCALCO,XOMOTLA,36,5150,TEACHER,VEST,75,PALMA SOLA,MENTORING,11174,HIGH SCHOOL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,1500,EMPLOYEE,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,HOUSEWIFE,12,PREPARATORY,HIGH SCHOOL,MOTHER
LONG STEP,ROYAL GOLD,71,3100,STORER,KEEP,22,NAUCALPAN,DEMONSTRATOR,3900,OTHER,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,6000,BIOLOGIST,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,NURSE,4000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,KEEP,61,11200,SELLER,COATZINTLA,56,XALAPA-ENRIQUEZ,HOUSEWIFE,36000,PROFESSIONAL,PROFESSIONAL,MOTHER
AGUASCALIENTES,TEMIMILCO CONGREGATION,48,4600,TEACHER,CLACALTIANGUIS,43,CEMPOALA,MANAGER,13000,PREPARATORY,PROFESSIONAL,OTHER
CARDENAS,THE TROUT,36,65000,CORVETTE CAPTAIN,SAN GABRIEL CHILAC,27,SANTA LUCIA DEL CAMINO,DESIGNER,3500,OTHER,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,44,15000,EMPLOYEE,ACAPULCO,41,ACAPULCO,HOUSEWIFE,2474,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,2000,EMPLOYEE,VILLA EMILIANO ZAPATA,41,XALAPA-ENRIQUEZ,HOUSEWIFE,6849,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,26,7200,DRIVER,MINATITLAN,26,XALAPA-ENRIQUEZ,HOME DUTIES,4050,PREPARATORY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,7000,BUSINESSMAN,XALAPA-ENRIQUEZ,21,XALAPA-ENRIQUEZ,HOME DUTIES,3000,PROFESSIONAL,PREPARATORY,MOTHER
CHOLULA,HUEYAPAN DE OCAMPO,37,563218,ASSISTANT,CUERNAVACA,35,PUEBLA,DENTISTRY,11174,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,3000,PLUMBER,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,HOUSEWIFE,4550,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,5000,COMPUTER,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,CLINICAL CHEMICAL,3700,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,58,13600,RETIRED,XALAPA-ENRIQUEZ,54,XALAPA-ENRIQUEZ,EMPLOYEE,23000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,NEW CAMP,34,6000,EMPLOYEE,LOPEZ MATEOS,40,XALAPA-ENRIQUEZ,EMPLOYEE,4000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,4800,AERONAUT,CHAVARRILLO,33,XALAPA-ENRIQUEZ,HOME DUTIES,7500,HIGH SCHOOL,PREPARATORY,MOTHER
MINATITLAN,LOMA IGUANA,43,6250,CORVETTE CAPTAIN,HUEJUTLA DE REYES,77,PERSEVERANCE,COSMIATRIA,6452,PROFESSIONAL,PRIMARY,DAD
COATEPEC,RAFAEL LUCIO,50,8600,CONTRACTOR,THE JEWEL,55,TLALNEPANTLA,PENSIONED,7900,PRIMARY,OTHER,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,29,100000,COACH,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,1600,PRIMARY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,CHIHUAHUA,21,4500,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,1000,HIGH SCHOOL,PREPARATORY,MOTHER
CARDENAS,GUTIERREZ ZAMORA,26,16000,PROFESSOR,VILLA AZUETA,74,CARMEN BEACH,CRAFTSWOMAN,7500,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,3000,PUBLICIST,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,SECRETARY,1700,PROFESSIONAL,PREPARATORY,MOTHER
SOLITUDE OF BENDING,VIEWPOINTS,71,7000,ARTIST,HACIENDA LA LUZ,81,SANTANA,POLICE,11000,OTHER,HIGH SCHOOL,OTHER
TIHUATLAN,SALTILLO,23,5800,TECHNICAL,ETLANTEPEC,64,CEMPOALA,PUBLIC SINGER,29000,OTHER,PRIMARY,OTHER
ROSES,TRAPICHES,71,17000,ELECTRONICS TECHNICIAN,CARLOS A. CARRILLO,20,REEDBED,CODICTOR,2300,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,53,15000,EMPLOYEE,ROOF LERDO,56,XALAPA-ENRIQUEZ,NURSE,2500,HIGH SCHOOL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,VERACRUZ,58,15000,TEACHER,FEDERAL DISTRICT,56,XALAPA-ENRIQUEZ,TEACHER,5000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,COACOATZINTLA,52,1200,BUSINESSMAN,TLALNELHUAYOCAN,51,XALAPA-ENRIQUEZ,BUSINESSMAN,1200,PROFESSIONAL,PREPARATORY,MOTHER
